"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"429","Admiral Schofield","SF","22","WAS","27","2","293","30","75",".400","14","47",".298","16","28",".571",".493","9","13",".692","6","28","34","14","8","3","7","41","83",2020,"6.8",".514",".627",".173","2.2","10.9","6.4","6.2","1.3","0.9","8.0","12.5","0.1","0.0","0.1",".020","-4.2","-1.1","-5.3","-0.2"
"430","Dennis Schröder","PG","26","OKC","63","1","1952","442","945",".468","122","320",".381","320","625",".512",".532","193","230",".839","19","214","233","256","43","14","159","138","1199",2020,"16.8",".573",".339",".243","1.1","11.8","6.6","21.6","1.1","0.6","13.2","27.2","1.9","1.6","3.5",".086","1.1","-1.2","-0.1","1.0"
"431","Mike Scott","PF","31","PHI","63","10","1119","130","319",".408","73","204",".358","57","115",".496",".522","25","30",".833","58","167","225","48","19","5","24","85","358",2020,"10.2",".539",".639",".094","5.7","16.5","11.1","5.9","0.8","0.4","6.7","13.8","1.0","1.1","2.1",".089","-1.2","-1.1","-2.3","-0.1"
"432","Thabo Sefolosha","PF","35","HOU","41","0","436","37","91",".407","15","54",".278","22","37",".595",".489","3","8",".375","21","72","93","25","24","12","15","43","92",2020,"9.5",".487",".593",".088","5.0","17.4","11.2","7.5","2.6","2.4","13.7","10.4","0.1","0.6","0.7",".073","-2.7","1.6","-1.1","0.1"
"433","Collin Sexton","SG","21","CLE","65","65","2143","513","1086",".472","97","255",".380","416","831",".501",".517","226","267",".846","61","143","204","192","65","7","158","142","1349",2020,"16.3",".560",".235",".246","3.1","7.5","5.3","15.1","1.5","0.3","11.6","27.2","2.2","0.3","2.5",".057","0.3","-2.1","-1.8","0.1"
"434","Landry Shamet","SG","22","LAC","47","27","1294","146","351",".416","105","268",".392","41","83",".494",".566","57","63",".905","6","84","90","87","19","9","36","130","454",2020,"9.2",".599",".764",".179","0.5","6.5","3.6","9.0","0.7","0.6","8.7","13.3","1.7","1.0","2.7",".100","-1.4","-0.2","-1.6","0.1"
"435","Marial Shayok","SG","24","PHI","2","0","10","1","5",".200","1","3",".333","0","2",".000",".300","0","0","0","0","3","3","1","0","0","1","0","3",2020,"-2.0",".300",".600",".000","0.0","33.1","16.6","13.4","0.0","0.0","16.7","25.9","-0.1","0.0","0.0","-0.227","-8.7","-2.6","-11.3","0.0"
"436","Iman Shumpert","SG","29","BRK","13","0","241","21","64",".328","8","33",".242","13","31",".419",".391","4","7",".571","9","25","34","12","12","2","10","21","54",2020,"5.3",".403",".516",".109","3.9","10.4","7.3","6.8","2.4","0.7","13.0","13.4","-0.3","0.3","0.0","-0.001","-6.4","0.8","-5.6","-0.2"
"437","Pascal Siakam","PF","25","TOR","53","53","1882","459","1000",".459","115","320",".359","344","680",".506",".517","220","275",".800","57","342","399","191","53","49","132","151","1253",2020,"18.7",".559",".320",".275","3.3","18.8","11.2","17.0","1.3","2.5","10.5","28.5","2.0","3.2","5.2",".133","1.7","0.5","2.2","2.0"
"438","Chris Silva","PF","23","MIA","41","0","307","43","69",".623","0","2",".000","43","67",".642",".623","34","49",".694","54","55","109","21","9","18","31","80","120",2020,"17.2",".663",".029",".710","20.6","19.3","19.9","10.2","1.4","5.8","25.5","17.5","0.7","0.5","1.1",".178","-3.4","0.9","-2.5","0.0"
"439","Ben Simmons","PG","23","PHI","54","54","1930","361","617",".585","2","6",".333","359","611",".588",".587","178","284",".627","108","315","423","442","115","32","192","173","902",2020,"20.8",".608",".010",".460","6.2","18.0","12.1","34.8","2.9","1.4","20.6","20.9","3.8","3.2","7.0",".174","1.4","2.4","3.9","2.9"
"440","Anfernee Simons","SG","20","POR","65","4","1400","211","525",".402","74","219",".338","137","306",".448",".472","76","92",".826","25","122","147","95","26","10","61","131","572",2020,"9.3",".506",".417",".175","1.9","8.9","5.4","9.4","0.9","0.6","9.7","19.0","0.1","0.2","0.3",".010","-2.5","-1.8","-4.4","-0.8"
"441","Alen Smailagic","PF","19","GSW","14","0","139","20","40",".500","3","13",".231","17","27",".630",".538","16","19",".842","10","17","27","13","3","4","11","14","59",2020,"14.5",".610",".325",".475","7.5","13.7","10.5","14.3","1.0","2.6","18.5","18.2","0.2","0.1","0.2",".081","-1.3","-0.8","-2.1","0.0"
"442","Marcus Smart","SG","25","BOS","53","39","1721","240","632",".380","128","368",".348","112","264",".424",".481","106","127",".835","40","164","204","257","86","27","89","142","714",2020,"14.0",".519",".582",".201","2.5","10.1","6.4","21.0","2.4","1.5","11.5","19.3","1.7","2.4","4.1",".115","0.2","1.3","1.6","1.5"
"443","Dennis Smith Jr.","PG","22","NYK","34","3","537","72","211",".341","16","54",".296","56","157",".357",".379","27","53",".509","21","57","78","98","28","8","58","65","187",2020,"7.5",".399",".256",".251","4.1","11.7","7.7","26.4","2.5","1.4","19.8","23.1","-1.3","0.5","-0.9","-0.079","-5.2","-0.9","-6.1","-0.6"
"444","Ish Smith","PG","31","WAS","60","19","1570","262","581",".451","55","150",".367","207","431",".480",".498","48","70",".686","28","161","189","285","52","24","77","84","627",2020,"13.8",".512",".258",".120","1.9","11.7","6.6","25.9","1.5","1.3","11.2","18.3","1.3","0.4","1.7",".053","-0.3","-1.1","-1.4","0.2"
"445","Zhaire Smith","SG","20","PHI","7","0","32","3","11",".273","0","3",".000","3","8",".375",".273","2","4",".500","0","2","2","2","3","0","2","4","8",2020,"1.1",".313",".273",".364","0.0","6.9","3.5","8.3","4.6","0.0","13.6","19.9","-0.1","0.1","-0.1","-0.118","-10.8","0.8","-10.0","-0.1"
"446","Tony Snell","SF","28","DET","59","57","1641","170","382",".445","102","254",".402","68","128",".531",".579","32","32","1.000","9","102","111","127","32","15","31","101","474",2020,"9.7",".598",".665",".084","0.6","7.1","3.8","10.9","1.0","0.8","7.3","11.4","2.1","0.5","2.6",".076","-1.1","-0.6","-1.8","0.1"
"447","Omari Spellman","PF","22","GSW","49","3","886","127","295",".431","43","110",".391","84","185",".454",".503","73","92",".793","77","142","219","47","33","24","54","63","370",2020,"14.4",".551",".373",".312","9.1","18.0","13.4","8.1","1.8","2.4","13.9","18.8","0.5","0.7","1.2",".065","-0.7","-1.0","-1.7","0.1"
"448","Max Strus","SG","23","CHI","2","0","6","2","3",".667","0","1",".000","2","2","1.000",".667","1","1","1.000","1","0","1","0","0","0","0","1","5",2020,"30.7",".727",".333",".333","17.5","0.0","9.2","0.0","0.0","0.0","0.0","24.4","0.0","0.0","0.0",".317","5.4","-1.0","4.4","0.0"
"449","Edmond Sumner","PG","24","IND","25","2","345","47","111",".423","10","38",".263","37","73",".507",".468","10","15",".667","10","27","37","39","15","8","19","35","114",2020,"10.0",".485",".342",".135","3.2","8.6","5.9","15.4","2.1","2.0","13.9","17.4","-0.1","0.4","0.3",".039","-3.6","0.4","-3.1","-0.1"
"450","Caleb Swanigan","PF","22","TOT","27","1","288","28","47",".596","0","2",".000","28","45",".622",".596","9","17",".529","27","73","100","31","3","7","37","62","65",2020,"7.6",".597",".043",".362","9.9","26.1","18.1","14.0","0.5","2.1","40.4","13.5","-0.2","0.2","0.0",".007","-6.3","0.2","-6.0","-0.3"
"451","Jayson Tatum","PF","21","BOS","59","59","2043","499","1113",".448","167","420",".398","332","693",".479",".523","225","279",".806","57","361","418","174","83","53","132","121","1390",2020,"20.3",".562",".377",".251","3.0","18.8","11.0","14.0","2.0","2.4","9.7","28.6","2.9","3.4","6.2",".147","3.3","0.6","3.9","3.0"
"452","Jeff Teague","PG","31","TOT","59","17","1464","213","489",".436","43","117",".368","170","372",".457",".480","172","197",".873","27","115","142","308","44","19","116","106","641",2020,"14.6",".557",".239",".403","1.9","8.6","5.2","30.7","1.4","1.1","16.8","19.5","1.9","0.6","2.5",".082","-0.2","-1.3","-1.5","0.2"
"453","Garrett Temple","SG","33","BRK","55","31","1547","198","524",".378","112","346",".324","86","178",".483",".485","56","73",".767","28","162","190","141","44","26","57","95","564",2020,"10.3",".507",".660",".139","1.9","10.5","6.3","13.1","1.3","1.4","9.3","16.6","0.5","1.6","2.1",".065","-1.5","0.4","-1.1","0.4"
"454","Daniel Theis","C","27","BOS","58","57","1382","216","382",".565","26","81",".321","190","301",".631",".599","81","106",".764","130","250","380","95","35","75","48","201","539",2020,"18.2",".629",".212",".277","10.2","19.2","14.7","9.9","1.2","5.0","10.1","14.7","3.6","2.3","5.9",".205","0.4","1.8","2.3","1.5"
"455","Isaiah Thomas","PG","30","WAS","40","37","925","174","426",".408","78","189",".413","96","237",".405",".500","62","76",".816","11","57","68","146","13","6","77","77","488",2020,"11.6",".531",".444",".178","1.3","7.0","4.0","23.2","0.7","0.6","14.4","24.1","0.2","-0.1","0.0",".001","-0.5","-3.9","-4.4","-0.6"
"456","Khyri Thomas","SG","23","DET","8","0","61","5","17",".294","5","14",".357","0","3",".000",".441","2","4",".500","1","0","1","3","3","0","3","9","17",2020,"3.2",".453",".824",".235","1.8","0.0","0.9","6.7","2.4","0.0","13.8","15.6","-0.1","0.0","0.0","-0.038","-6.1","-1.8","-7.9","-0.1"
"457","Matt Thomas","SG","25","TOR","33","0","321","54","111",".486","35","75",".467","19","36",".528",".644","7","10",".700","7","41","48","17","8","0","12","31","150",2020,"13.6",".650",".676",".090","2.4","13.2","7.9","7.9","1.2","0.0","9.4","17.0","0.5","0.4","0.9",".137","1.0","0.4","1.4","0.3"
"458","Tristan Thompson","C","28","CLE","57","51","1721","288","562",".512","9","23",".391","279","539",".518",".520","99","161",".615","226","351","577","120","33","50","103","124","684",2020,"16.8",".540",".041",".286","14.5","22.9","18.6","10.5","0.9","2.5","14.0","18.3","2.0","1.1","3.1",".085","-0.2","-1.3","-1.5","0.2"
"459","Matisse Thybulle","SG","22","PHI","57","13","1110","96","234",".410","50","142",".352","46","92",".500",".517","25","41",".610","35","51","86","70","80","40","45","120","267",2020,"9.8",".530",".607",".175","3.5","5.1","4.3","8.3","3.5","3.1","15.1","11.6","0.1","1.8","1.9",".084","-3.0","3.1","0.1","0.6"
"460","Anthony Tolliver","PF","34","TOT","47","9","732","54","155",".348","39","121",".322","15","34",".441",".474","18","25",".720","30","103","133","33","15","11","30","64","165",2020,"6.6",".497",".781",".161","4.3","14.5","9.5","5.7","1.0","1.3","15.3","11.4","-0.1","0.4","0.3",".018","-3.1","-0.7","-3.8","-0.3"
"461","Juan Toscano-Anderson","SF","26","GSW","13","6","272","29","63",".460","8","23",".348","21","40",".525",".524","3","5",".600","9","43","52","26","13","5","16","30","69",2020,"9.4",".529",".365",".079","3.5","17.8","10.4","13.8","2.3","1.7","19.7","12.7","-0.1","0.2","0.2",".030","-3.9","0.4","-3.5","-0.1"
"462","Karl-Anthony Towns","C","24","MIN","35","35","1187","316","622",".508","114","277",".412","202","345",".586",".600","180","226",".796","95","283","378","153","33","42","110","117","926",2020,"26.5",".642",".445",".363","8.1","26.1","16.8","22.8","1.3","2.9","13.2","28.8","3.8","1.3","5.1",".205","7.0","0.8","7.8","2.9"
"463","Gary Trent Jr.","SG","21","POR","53","8","1059","149","350",".426","78","201",".388","71","149",".477",".537","30","36",".833","20","68","88","50","39","13","19","69","406",2020,"11.8",".555",".574",".103","2.0","6.6","4.3","6.5","1.8","1.0","4.9","15.4","1.2","0.4","1.6",".071","-0.5","-0.6","-1.1","0.3"
"464","Allonzo Trier","PG","24","NYK","24","1","291","51","106",".481","19","53",".358","32","53",".604",".571","34","43",".791","6","23","29","28","3","4","22","29","155",2020,"14.5",".620",".500",".406","2.1","8.7","5.3","14.8","0.5","1.3","15.0","21.4","0.5","0.1","0.5",".087","1.0","-1.5","-0.5","0.1"
"465","P.J. Tucker","PF","34","HOU","64","64","2203","162","374",".433","95","257",".370","67","117",".573",".560","37","44",".841","102","339","441","101","70","31","67","209","456",2020,"8.7",".580",".687",".118","4.8","16.2","10.5","5.9","1.5","1.2","14.6","8.6","1.8","2.2","3.9",".086","-2.2","0.6","-1.6","0.2"
"466","Rayjon Tucker","SG","22","UTA","14","0","78","8","19",".421","0","6",".000","8","13",".615",".421","3","5",".600","2","11","13","2","1","0","3","7","19",2020,"4.5",".448",".316",".263","2.9","14.8","9.1","3.5","0.6","0.0","12.4","13.6","-0.1","0.1","0.0","-0.009","-6.7","-1.2","-7.9","-0.1"
"467","Evan Turner","PG","31","ATL","19","0","251","25","67",".373","0","5",".000","25","62",".403",".373","12","14",".857","8","30","38","38","9","8","26","20","62",2020,"6.8",".424",".075",".209","3.4","13.0","8.2","20.6","1.7","2.7","26.2","16.4","-0.5","0.1","-0.3","-0.064","-4.9","-0.7","-5.6","-0.2"
"468","Myles Turner","C","23","IND","55","55","1628","233","517",".451","77","229",".336","156","288",".542",".525","108","144",".750","70","290","360","61","42","120","68","138","651",2020,"14.7",".561",".443",".279","4.8","19.5","12.2","5.1","1.3","6.5","10.5","17.5","1.0","2.8","3.7",".111","-0.9","1.1","0.2","0.9"
"469","Jarrod Uthoff","SF","26","MEM","4","0","14","1","7",".143","0","4",".000","1","3",".333",".143","2","2","1.000","1","0","1","0","1","0","0","1","4",2020,"-0.1",".254",".571",".286","7.6","0.0","3.7","0.0","3.3","0.0","0.0","23.4","-0.1","0.0","0.0","-0.167","-11.0","-2.5","-13.5","0.0"
"470","Jonas Valanciunas","C","27","MEM","62","62","1630","385","657",".586","29","79",".367","356","578",".616",".608","123","168",".732","190","506","696","109","25","69","107","159","922",2020,"22.3",".631",".120",".256","12.5","31.9","22.4","10.2","0.7","3.7","12.8","21.4","3.8","2.4","6.2",".182","2.2","0.0","2.3","1.8"
"471","Denzel Valentine","SF","26","CHI","36","5","488","97","237",".409","46","137",".336","51","100",".510",".506","6","8",".750","9","65","74","43","26","6","26","51","246",2020,"13.0",".511",".578",".034","1.9","15.5","8.4","14.2","2.6","1.2","9.8","23.3","-0.1","0.6","0.5",".048","-0.7","0.2","-0.5","0.2"
"472","Jarred Vanderbilt","SF-PF","20","TOT","11","0","46","5","8",".625","0","1",".000","5","7",".714",".625","2","2","1.000","3","6","9","2","3","1","7","6","12",2020,"7.6",".676",".125",".250","7.3","14.5","10.8","5.9","3.2","2.0","44.1","14.9","-0.1","0.1","0.0","-0.020","-6.6","0.6","-5.9","0.0"
"473","Fred VanVleet","PG","25","TOR","48","48","1719","287","701",".409","131","338",".388","156","363",".430",".503","140","166",".843","18","162","180","317","91","13","110","118","845",2020,"16.0",".546",".482",".237","1.1","9.7","5.5","27.4","2.5","0.7","12.4","22.0","2.2","2.7","4.9",".136","1.0","1.3","2.3","1.8"
"474","Gabe Vincent","PG","23","MIA","6","0","42","4","19",".211","4","16",".250","0","3",".000",".316","0","0","0","0","3","3","3","1","0","0","2","12",2020,"1.2",".316",".842",".000","0.0","7.7","4.0","9.9","1.2","0.0","0.0","20.0","-0.1","0.0","-0.1","-0.105","-6.7","-2.9","-9.6","-0.1"
"475","Noah Vonleh","C-PF","24","TOT","33","1","364","50","89",".562","3","15",".200","47","74",".635",".579","24","30",".800","37","86","123","27","11","6","21","38","127",2020,"15.6",".621",".169",".337","10.4","25.9","17.9","10.7","1.4","1.4","17.0","14.0","0.6","0.4","1.0",".126","-1.2","0.3","-0.8","0.1"
"476","Nikola Vucevic","C","29","ORL","54","54","1763","428","910",".470","82","249",".329","346","661",".523",".515","114","146",".781","130","466","596","202","46","47","77","121","1052",2020,"21.6",".540",".274",".160","7.6","29.4","18.1","20.0","1.3","2.4","7.3","25.8","2.9","2.6","5.5",".150","3.4","0.6","4.0","2.7"
"477","Dean Wade","PF","23","CLE","12","0","71","9","13",".692","2","4",".500","7","9",".778",".769","0","1",".000","3","16","19","2","2","4","3","8","20",2020,"13.9",".744",".308",".077","4.6","25.3","14.9","4.0","1.4","4.8","18.2","9.9","0.1","0.1","0.2",".104","-1.7","0.5","-1.2","0.0"
"478","Moritz Wagner","C","22","WAS","37","5","707","131","228",".575","23","67",".343","108","161",".671",".625","67","82",".817","51","141","192","49","22","17","55","134","352",2020,"16.6",".666",".294",".360","7.6","22.8","14.9","10.1","1.5","2.1","17.2","18.8","1.3","0.5","1.8",".122","-1.2","-0.3","-1.6","0.1"
"479","Dion Waiters","SG","28","MIA","3","0","42","10","26",".385","8","17",".471","2","9",".222",".538","0","1",".000","0","11","11","3","0","2","3","5","28",2020,"13.5",".530",".654",".038","0.0","28.2","14.7","12.4","0.0","4.7","10.2","30.9","-0.1","0.1","0.0","-0.001","2.4","-0.6","1.8","0.0"
"480","Kemba Walker","PG","29","BOS","50","50","1592","350","832",".421","165","438",".377","185","394",".470",".520","195","225",".867","33","171","204","247","47","25","107","77","1060",2020,"20.2",".569",".526",".270","2.2","11.4","6.9","24.6","1.4","1.5","10.3","27.8","3.5","1.9","5.4",".163","5.0","-0.2","4.7","2.7"
"481","Lonnie Walker","SG","21","SAS","53","4","767","116","267",".434","29","71",".408","87","196",".444",".489","38","53",".717","20","95","115","46","28","13","31","70","299",2020,"11.0",".515",".266",".199","2.8","13.4","8.1","8.4","1.8","1.5","9.6","18.2","0.0","0.5","0.5",".028","-2.5","-0.7","-3.2","-0.2"
"482","Tyrone Wallace","SG","25","ATL","14","0","160","14","44",".318","1","15",".067","13","29",".448",".330","11","17",".647","3","19","22","13","7","1","10","19","40",2020,"3.9",".389",".341",".386","2.0","13.0","7.4","10.9","2.0","0.5","16.3","16.0","-0.3","0.1","-0.3","-0.075","-7.7","-1.0","-8.7","-0.3"
"483","Taurean Prince","SF","25","BRK","64","61","1857","278","739",".376","146","431",".339","132","308",".429",".475","71","89",".798","50","331","381","116","57","25","127","159","773",2020,"9.2",".497",".583",".120","2.8","17.9","10.6","9.3","1.5","1.1","14.0","20.4","-1.7","2.4","0.7",".019","-2.9","-0.1","-3.0","-0.5"
"484","Derrick Walton","PG","24","TOT","26","1","248","18","39",".462","10","24",".417","8","15",".533",".590","7","9",".778","2","14","16","27","7","0","5","21","53",2020,"8.7",".617",".615",".231","0.9","5.7","3.4","13.9","1.4","0.0","10.4","8.1","0.4","0.2","0.6",".112","-2.3","1.3","-1.1","0.1"
"485","Brad Wanamaker","PG","30","BOS","63","1","1215","136","318",".428","33","90",".367","103","228",".452",".480","108","116",".931","19","105","124","158","52","12","70","120","413",2020,"11.8",".560",".283",".365","1.7","9.2","5.5","17.6","2.1","0.9","15.9","15.4","1.2","1.5","2.7",".108","-2.5","1.2","-1.3","0.2"
"486","T.J. Warren","SF","26","IND","61","61","1984","460","869",".529","69","184",".375","391","685",".571",".569","151","186",".812","61","181","242","87","70","27","77","170","1140",2020,"17.2",".599",".212",".214","3.4","10.0","6.7","6.8","1.7","1.2","7.5","22.8","3.1","2.2","5.3",".129","0.4","-0.2","0.2","1.1"
"487","P.J. Washington","PF","21","CHO","58","57","1759","268","589",".455","86","230",".374","182","359",".507",".528","88","136",".647","58","258","316","123","51","44","93","158","710",2020,"12.4",".547",".390",".231","3.5","16.6","9.8","11.3","1.5","2.3","12.5","18.6","0.5","1.4","2.0",".054","-1.7","0.1","-1.6","0.2"
"488","Yuta Watanabe","SG","25","MEM","16","0","99","12","29",".414","3","8",".375","9","21",".429",".466","3","8",".375","6","11","17","4","5","1","2","9","30",2020,"9.5",".461",".276",".276","6.5","11.4","9.0","5.3","2.4","0.9","5.8","14.5","0.0","0.1","0.1",".047","-3.6","1.0","-2.6","0.0"
"489","Tremont Waters","PG","22","BOS","10","0","89","12","35",".343","3","17",".176","9","18",".500",".386","6","6","1.000","0","9","9","12","5","2","10","11","33",2020,"6.5",".438",".486",".171","0.0","10.7","5.4","18.8","2.7","2.1","21.0","22.9","-0.2","0.1","-0.1","-0.045","-6.6","0.1","-6.5","-0.1"
"490","Paul Watson","SF-SG","25","TOT","5","0","25","0","8",".000","0","4",".000","0","4",".000",".000","1","2",".500","0","4","4","5","1","1","0","1","1",2020,"-0.5",".056",".500",".250","0.0","17.0","8.5","23.9","1.9","3.9","0.0","14.8","-0.1","0.0","-0.1","-0.181","-8.0","0.8","-7.3","0.0"
"491","Quinndary Weatherspoon","SG","23","SAS","3","0","15","0","3",".000","0","1",".000","0","2",".000",".000","0","0","0","0","1","1","1","0","0","0","0","0",2020,"-5.1",".000",".333",".000","0.0","7.2","3.6","7.7","0.0","0.0","0.0","8.7","-0.1","0.0","-0.1","-0.197","-9.1","-6.0","-15.1","-0.1"
"492","Russell Westbrook","PG","31","HOU","53","53","1905","568","1199",".474","51","201",".254","517","998",".518",".495","269","346",".777","94","332","426","370","88","17","236","187","1456",2020,"21.5",".539",".168",".289","5.1","18.4","11.7","35.0","2.1","0.8","14.9","34.4","2.1","2.3","4.3",".109","1.9","-0.1","1.8","1.8"
"493","Coby White","SG","19","CHI","65","1","1674","312","792",".394","133","376",".354","179","416",".430",".478","102","129",".791","28","202","230","175","49","6","109","117","859",2020,"11.9",".506",".475",".163","1.8","14.0","7.6","16.5","1.4","0.3","11.4","24.4","-0.4","1.4","0.9",".026","-1.2","-1.6","-2.8","-0.3"
"494","Derrick White","SG","25","SAS","61","13","1468","213","464",".459","57","160",".356","156","304",".513",".520","150","175",".857","30","163","193","206","39","55","75","133","633",2020,"15.9",".585",".345",".377","2.2","12.0","7.1","19.5","1.3","3.3","12.2","18.2","2.5","0.9","3.4",".110","0.7","0.2","0.9","1.1"
"495","Hassan Whiteside","C","30","POR","61","61","1911","418","676",".618","4","7",".571","414","669",".619",".621","153","225",".680","244","625","869","74","24","187","117","179","993",2020,"25.0",".641",".010",".333","13.4","33.4","23.6","6.0","0.6","8.3","13.1","19.8","5.1","3.0","8.1",".204","2.5","0.7","3.2","2.5"
"496","Andrew Wiggins","SF-SG","24","TOT","54","54","1858","437","978",".447","111","334",".332","326","644",".506",".504","190","268",".709","66","208","274","198","45","53","132","127","1175",2020,"16.4",".536",".342",".274","3.6","12.3","7.8","18.1","1.1","2.4","10.7","27.4","0.9","1.1","1.9",".050","1.1","-1.5","-0.3","0.8"
"497","Grant Williams","PF","21","BOS","62","5","970","80","192",".417","21","85",".247","59","107",".551",".471","37","51",".725","58","107","165","62","28","33","46","149","218",2020,"8.0",".508",".443",".266","6.5","11.7","9.1","8.3","1.4","3.1","17.7","11.5","0.2","1.3","1.5",".075","-4.0","1.4","-2.6","-0.1"
"498","Johnathan Williams","C","24","WAS","11","5","135","16","25",".640","0","2",".000","16","23",".696",".640","3","5",".600","15","28","43","6","1","6","4","11","35",2020,"14.4",".643",".080",".200","11.7","23.7","17.5","5.9","0.3","3.9","12.8","9.6","0.3","0.1","0.3",".116","-0.5","-1.3","-1.8","0.0"
"499","Kenrich Williams","PF","25","NOP","35","18","779","49","143",".343","25","96",".260","24","47",".511",".430","9","24",".375","49","129","178","53","25","21","21","81","132",2020,"7.6",".430",".671",".168","6.6","17.5","12.0","8.3","1.5","2.2","12.0","9.2","0.1","0.8","0.8",".052","-3.3","1.0","-2.3","-0.1"
"500","Lou Williams","SG","33","LAC","60","8","1757","367","883",".416","107","295",".363","260","588",".442",".476","278","322",".863","28","158","186","344","40","10","172","77","1119",2020,"17.2",".546",".334",".365","1.7","9.1","5.5","29.9","1.1","0.5","14.4","28.3","2.2","1.7","3.9",".107","2.1","-1.4","0.8","1.2"
"501","Marvin Williams","PF","33","TOT","52","1","1011","110","249",".442","52","144",".361","58","105",".552",".546","47","54",".870","20","128","148","56","35","26","28","94","319",2020,"11.4",".585",".578",".217","2.1","13.7","7.8","8.0","1.7","2.4","9.3","13.0","1.0","1.0","2.1",".099","-1.7","1.0","-0.7","0.3"
"502","Robert Williams","C","22","BOS","23","1","323","42","62",".677","0","0","0","42","62",".677",".677","14","25",".560","34","74","108","22","20","28","20","40","98",2020,"19.6",".671",".000",".403","11.4","24.3","17.9","9.5","3.0","8.0","21.5","12.3","0.6","0.8","1.4",".205","-0.6","4.4","3.8","0.5"
"503","Nigel Williams-Goss","PG","25","UTA","9","0","28","1","7",".143","0","2",".000","1","5",".200",".143","2","2","1.000","2","3","5","5","1","1","2","2","4",2020,"5.7",".254",".286",".286","8.2","11.2","9.8","22.3","1.7","3.0","20.2","15.5","-0.1","0.0","0.0","-0.045","-5.1","1.1","-3.9","0.0"
"504","Zion Williamson","PF","19","NOP","19","19","565","172","292",".589","6","13",".462","166","279",".595",".599","98","152",".645","55","74","129","41","16","9","51","32","448",2020,"24.2",".624",".045",".521","10.2","13.9","12.0","12.6","1.3","1.3","12.4","29.6","1.3","0.4","1.8",".149","3.5","-1.1","2.4","0.6"
"505","D.J. Wilson","PF","23","MIL","31","0","280","40","101",".396","14","55",".255","26","46",".565",".465","6","9",".667","10","58","68","22","2","5","15","26","100",2020,"8.4",".476",".545",".089","3.8","19.3","12.0","10.3","0.3","1.6","12.5","17.7","-0.2","0.5","0.3",".055","-3.9","0.3","-3.6","-0.1"
"506","Justise Winslow","SF","23","MIA","11","5","352","50","129",".388","6","27",".222","44","102",".431",".411","18","27",".667","16","57","73","44","7","5","24","38","124",2020,"8.6",".440",".209",".209","5.3","17.4","11.6","18.6","1.0","1.4","14.6","20.7","-0.4","0.4","0.0","-0.003","-3.5","-0.1","-3.5","-0.1"
"507","Christian Wood","PF","24","DET","62","12","1325","288","508",".567","54","140",".386","234","368",".636",".620","180","242",".744","104","286","390","60","34","54","84","98","810",2020,"23.2",".659",".276",".476","8.8","24.8","16.7","7.6","1.3","3.4","12.0","23.0","3.6","1.5","5.1",".184","3.5","-0.3","3.1","1.7"
"508","Delon Wright","SG","27","DAL","65","5","1412","179","381",".470","45","117",".385","134","264",".508",".529","71","90",".789","66","193","259","220","76","21","68","83","474",2020,"16.1",".563",".307",".236","5.0","14.0","9.6","21.2","2.6","1.3","13.9","14.8","2.6","1.8","4.3",".148","0.4","2.0","2.4","1.6"
"509","Justin Wright-Foreman","PG","22","UTA","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2020,"0.0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0",".010","-6.1","-0.9","-7.0","0.0"
"510","Thaddeus Young","PF","31","CHI","64","16","1591","269","601",".448","79","222",".356","190","379",".501",".513","42","72",".583","94","221","315","117","92","23","102","134","659",2020,"13.3",".521",".369",".120","6.2","16.1","10.9","11.3","2.8","1.4","13.9","19.7","-0.2","2.1","1.9",".058","-1.4","0.2","-1.1","0.4"
"511","Trae Young","PG","21","ATL","60","60","2120","546","1249",".437","205","568",".361","341","681",".501",".519","481","559",".860","32","223","255","560","65","8","289","104","1778",2020,"23.9",".595",".455",".448","1.6","11.5","6.5","45.6","1.4","0.3","16.2","34.9","5.4","0.5","5.9",".134","6.3","-2.3","4.0","3.2"
"512","Cody Zeller","C","27","CHO","58","39","1341","251","479",".524","18","75",".240","233","404",".577",".543","122","179",".682","160","251","411","88","40","25","75","140","642",2020,"18.8",".576",".157",".374","12.6","21.2","16.7","11.3","1.5","1.7","11.9","20.8","2.4","1.2","3.6",".129","0.2","-0.8","-0.6","0.5"
"513","Ante Žižic","C","23","CLE","22","0","221","41","72",".569","0","0","0","41","72",".569",".569","14","19",".737","18","48","66","6","7","5","10","27","96",2020,"16.4",".597",".000",".264","9.0","24.4","16.6","4.2","1.5","1.9","11.1","17.5","0.3","0.2","0.5",".106","-1.7","-1.5","-3.2","-0.1"
"514","Ivica Zubac","C","22","LAC","64","62","1156","202","336",".601","0","2",".000","202","334",".605",".601","107","141",".759","166","295","461","69","13","60","53","146","511",2020,"21.0",".642",".006",".420","15.2","25.7","20.6","8.7","0.5","4.6","11.8","16.2","3.6","2.0","5.6",".231","1.5","1.0","2.5","1.3"
