"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"1","Jim Baechtold","SF","25","BLB","64","0","1893","242","621",".390","0","0","0","242","621",".390",".390","177","240",".738","0","0","219","154","0","0","0","203","661",1953,"12.9",".455","0",".386","0","0","0","0","0","0","0","0","2.3","0.4","2.6",".067","0","0","0","0"
"2","Don Barksdale*","PF","29","BLB","65","0","2298","321","829",".387","0","0","0","321","829",".387",".387","257","401",".641","0","0","597","166","0","0","0","273","899",1953,"16.7",".447","0",".484","0","0","0","0","0","0","0","0","2.5","0.6","3.1",".065","0","0","0","0"
"3","Leo Barnhorst","SF","28","INO","71","0","2871","402","1034",".389","0","0","0","402","1034",".389",".389","163","259",".629","0","0","483","277","0","0","0","245","967",1953,"16.0",".421","0",".250","0","0","0","0","0","0","0","0","1.1","3.5","4.6",".076","0","0","0","0"
"4","Nelson Bobb","PG","28","PHW","55","0","1286","119","318",".374","0","0","0","119","318",".374",".374","105","162",".648","0","0","157","192","0","0","0","161","343",1953,"13.5",".441","0",".509","0","0","0","0","0","0","0","0","1.2","0.8","2.0",".075","0","0","0","0"
"5","Vince Boryla","SF","25","NYK","66","0","2200","254","686",".370","0","0","0","254","686",".370",".370","165","201",".821","0","0","233","166","0","0","0","226","673",1953,"11.2",".435","0",".293","0","0","0","0","0","0","0","0","1.4","2.2","3.6",".078","0","0","0","0"
"6","Don Boven","SF","27","TOT","67","0","1373","153","427",".358","0","0","0","153","427",".358",".358","145","209",".694","0","0","217","79","0","0","0","227","451",1953,"11.3",".435","0",".489","0","0","0","0","0","0","0","0","0.9","1.3","2.2",".075","0","0","0","0"
"7","Bob Brannum","PF","26","BOS","71","0","1900","188","541",".348","0","0","0","188","541",".348",".348","110","185",".595","0","0","537","147","0","0","0","287","486",1953,"11.7",".390","0",".342","0","0","0","0","0","0","0","0","-0.8","1.7","0.8",".021","0","0","0","0"
"8","Jim Brasco","G","21","TOT","20","0","248","25","94",".266","0","0","0","25","94",".266",".266","27","34",".794","0","0","24","21","0","0","0","30","77",1953,"7.6",".353","0",".362","0","0","0","0","0","0","0","0","-0.5","0.3","-0.2","-0.036","0","0","0","0"
"9","Carl Braun*","SG","25","NYK","70","0","2316","323","807",".400","0","0","0","323","807",".400",".400","331","401",".825","0","0","233","243","0","0","0","287","977",1953,"17.5",".497","0",".497","0","0","0","0","0","0","0","0","6.5","2.5","9.0",".186","0","0","0","0"
"10","Frankie Brian","SG","29","FTW","68","0","1910","245","699",".351","0","0","0","245","699",".351",".351","236","297",".795","0","0","133","142","0","0","0","205","726",1953,"12.2",".438","0",".425","0","0","0","0","0","0","0","0","1.6","1.4","3.0",".076","0","0","0","0"
"11","Dick Bunt","PG","22","TOT","26","0","271","29","105",".276","0","0","0","29","105",".276",".276","34","48",".708","0","0","28","17","0","0","0","40","92",1953,"6.6",".365","0",".457","0","0","0","0","0","0","0","0","-0.4","0.2","-0.3","-0.050","0","0","0","0"
"12","Bill Calhoun","SF","25","TOT","62","0","2148","180","534",".337","0","0","0","180","534",".337",".337","211","292",".723","0","0","277","156","0","0","0","136","571",1953,"12.4",".431","0",".547","0","0","0","0","0","0","0","0","1.2","2.7","3.9",".087","0","0","0","0"
"13","Al Cervi*","PG","35","SYR","38","0","301","31","71",".437","0","0","0","31","71",".437",".437","81","100",".810","0","0","22","28","0","0","0","90","143",1953,"18.3",".622","0","1.408","0","0","0","0","0","0","0","0","1.8","0.3","2.1",".339","0","0","0","0"
"14","Cal Christensen","SF","25","ROC","59","0","777","72","230",".313","0","0","0","72","230",".313",".313","68","114",".596","0","0","199","54","0","0","0","148","212",1953,"9.8",".378","0",".496","0","0","0","0","0","0","0","0","-0.6","1.0","0.4",".024","0","0","0","0"
"15","Nat Clifton*","PF","30","NYK","70","0","2496","272","794",".343","0","0","0","272","794",".343",".343","200","343",".583","0","0","761","231","0","0","0","274","744",1953,"15.4",".394","0",".432","0","0","0","0","0","0","0","0","-1.1","4.4","3.3",".064","0","0","0","0"
"16","Jack Coleman","PF","28","ROC","70","0","2625","314","748",".420","0","0","0","314","748",".420",".420","135","208",".649","0","0","774","231","0","0","0","245","763",1953,"17.2",".454","0",".278","0","0","0","0","0","0","0","0","2.8","3.9","6.7",".122","0","0","0","0"
